source_id,title,authors,journal,year,doi,pmid,trial,study_type,prespecified_or_posthoc,population,intervention,comparator,primary_endpoint,key_result,limitations,evidence_level,used_for_claims
FLOW-HF-2024,"Effects of Semaglutide on Heart Failure Outcomes in Diabetes and Chronic Kidney Disease in the FLOW Trial","Pratley RE; Tuttle KR; Rossing P; et al.","J Am Coll Cardiol",2024,10.1016/j.jacc.2024.08.004,39217553,FLOW (NCT03819153),RCT prespecified secondary analysis,Prespecified,"FLOW participants by baseline HF status: HF present n=678 (342/336) vs absent","Semaglutide 1.0 mg SC weekly",Placebo,"HF event or CV death (composite); HF events alone; CV death alone; by baseline HF status","Composite HR 0.73 (0.62-0.87) P=0.0005; HF events alone HR 0.73 (0.58-0.92) P=0.0068; CV death alone HR 0.71 (0.56-0.89) P=0.0036; similar with (HR ~0.73) and without (HR ~0.72) baseline HF","Abstract-level only (CC BY-NC-ND 4.0 version of record; automated full-text retrieval returned HTTP 403, a route failure not a closed-access finding); NYHA/HFrEF-HFpEF breakdown not verified; does not establish FLOW as a dedicated HF-outcomes trial",High (abstract-verified),"04;05;12;13;14;15"
FLOW-CKDSEVERITY-2026-CJASN,"Kidney and Survival Outcomes with Semaglutide by CKD Severity in the FLOW Trial","Tuttle KR; Mann JFE; Mayrdorfer MM; et al.","Clin J Am Soc Nephrol",2026,10.2215/CJN.0000000974,41706532,FLOW (NCT03819153),RCT subgroup analysis,"Prespecified for primary-outcome/eGFR/UACR analyses; post hoc for all-cause-death analyses by CKD severity","FLOW participants by baseline eGFR (<30 to >=60) and UACR (<100 to >=2000 mg/g) severity strata","Semaglutide 1.0 mg SC weekly",Placebo,"Primary 5-component composite (sustained >=50% eGFR decline, persistent eGFR<15, chronic KRT, kidney death, or CV death) and all-cause death, by eGFR/UACR severity strata","Restates FLOW's own overall counts (primary composite 331/1767 vs 410/1766, HR 0.76 [0.66-0.88]; all-cause death 227/1767 vs 279/1766, HR 0.80 [0.67-0.95]) stratified by severity, not a separate cohort; prespecified primary-outcome analysis consistent across eGFR (P-interaction .83; Fig.1), including eGFR<30 subgroup n=400, 73/218 vs 67/182, HR 0.81 (0.58-1.13), and UACR (P-interaction .42; Fig.2); baseline-reclassified UACR<100 subgroup n=350, 13/177 vs 17/173, HR 0.70 (0.34-1.44), Fig.2; post hoc death estimate lowest at UACR>=2000 mg/g, HR 0.47 (0.31-0.70), P-interaction=.02 (Fig.5)","Official CC BY 4.0 PMC full text (PMCID PMC13143484) read directly on 2026-09-05; protocol screening required UACR >100/>300, so the imprecise baseline UACR<100 reclassification subgroup is not a prospectively eligible persistent-low-UACR cohort; no subgroup multiplicity adjustment or alpha protection and no subgroup power estimates; mortality-by-severity analyses were post hoc; UACR>=2000 mortality signal is exploratory and not proof of effect modification or larger absolute benefit; distinct from FLOW-CVPHENOTYPE-2026 - do not merge","High for prespecified primary-outcome analyses; Exploratory for post hoc mortality-by-severity analyses","03;04;12;13;14;15"
FLOW-CVPHENOTYPE-2026,"Kidney and Survival Benefits of Semaglutide in Diabetes With Chronic Kidney Disease: FLOW Trial Cardiovascular Subgroup Analyses","Tuttle KR; Bakris GL; Baeres FMM; et al.","J Am Coll Cardiol",2026,10.1016/j.jacc.2026.02.5125,42233552,FLOW (NCT03819153),RCT prespecified subgroup analysis,Prespecified,"FLOW by baseline ASCVD (n=1198), heart failure (n=678), or high total-CVD-risk without established CVD (PREVENT>=20%, n=1329 of 2000 without ASCVD/HF)","Semaglutide 1.0 mg SC weekly",Placebo,"Primary 5-component composite (sustained >=50% eGFR decline, persistent eGFR<15, chronic KRT, kidney death, or CV death) and all-cause death, by CV phenotype","Primary-outcome HR: ASCVD 0.80 (0.63-1.02) vs no ASCVD 0.74 (0.62-0.89), P-interaction=.62; HF 0.67 (0.49-0.93) vs no HF 0.79 (0.67-0.93), P-interaction=.40; high-risk-no-CVD 0.73 (0.58-0.91) vs non-high-risk 0.73 (0.49-1.08), P-interaction=.99. All-cause-death HR: ASCVD 0.82 (0.63-1.07) vs no ASCVD 0.78 (0.62-0.99), P-interaction=.79; HF 0.75 (0.54-1.05) vs no HF 0.81 (0.66-0.99), P-interaction=.74; high-risk 0.71 (0.52-0.95) vs non-high-risk 0.82 (0.47-1.43), P-interaction=.63. Published descriptive 3-year NNTs for these CV phenotypes only: ASCVD 22, HF 13, high-risk-no-CVD 17","Abstract-level only (CC BY-NC-ND 4.0 version of record; automated retrieval returned HTTP 403); no interaction P was below .40, which is failure to detect heterogeneity rather than equivalence; the published NNTs apply only to the three CV-phenotype strata and cannot be extended to KDIGO or UACR strata lacking published stratum-specific ARR/NNT; distinct from FLOW-CKDSEVERITY-2026-CJASN - do not merge",High (abstract-verified),"02;04;05;12;13;14;15"
FLOW-DIALYSIS-SAFETY-2026,"Safety of Semaglutide After Dialysis Initiation: An Individual-Level Pooled Analysis","Klein KR; et al.","Diabetes Care",2026,10.2337/dc26-0112,41893299,"Pooled: SUSTAIN-6, SELECT, FLOW, SOUL",Post hoc pooled safety analysis,Post hoc,"307 of a source-reported pooled analysis denominator of 34,064 initiated dialysis during follow-up; 165 remained on assigned drug (71 semaglutide/94 placebo)",Semaglutide (continued after dialysis initiation),Placebo,"Systematically collected SAEs, MACE, and discontinuation after dialysis initiation","Among the selected on-treatment cohort, SAEs were 32/71 (45%) vs 54/94 (57%), permanent discontinuation 8.5% vs 10.6%, MACE rates 9.7 vs 16.1 and mortality rates 13.8 vs 18.1 per 100 person-years; these are descriptive postrandomization comparisons, not causal efficacy estimates","ADA copyright/TDM-ML restriction on cached parse - figures were independently verified in the public structured abstract/official article page, never from the private parse alone; four parent trials' nominal randomized Ns sum to 34,084, leaving an unexplained 20-person difference from the source-reported 34,064 analysis denominator; very small selected cohort, post hoc, survivor/selection bias; ""no renal dose adjustment"" (PK fact) must not be conflated with proven efficacy in dialysis",Hypothesis-generating (continuation-safety signal only),"10;12;13;15"
SUSTAIN6-2016,"Semaglutide and Cardiovascular Outcomes in Patients with Type 2 Diabetes","Marso SP; Bain SC; Consoli A; et al.","N Engl J Med",2016,10.1056/NEJMoa1607141,27633186,SUSTAIN-6 (NCT01720446),RCT primary publication,Primary (CV); renal and retinopathy composites secondary,"T2D at high CV risk, N=3297 (1648/1649)","Semaglutide 0.5/1.0 mg SC weekly",Placebo,"3-point MACE (primary); nephropathy composite and retinopathy-complication composite (secondary)","MACE HR 0.74 (0.58-0.95): prespecified noninferiority achieved, with only post hoc/non-prespecified nominal evidence for superiority; nephropathy composite HR 0.64 (0.46-0.88) P=0.005, 62/1648 (3.8%) vs 100/1649 (6.1%); new persistent macroalbuminuria component alone 2.5% vs 4.9%; retinopathy complications HR 1.76 (1.11-2.78) P=0.02, 50 (3.0%) vs 29 (1.8%)","Trial was powered/prespecified for CV noninferiority, not superiority; nephropathy composite dominated by reduced new-onset persistent macroalbuminuria, not hard kidney endpoints; exact hard-component (creatinine-doubling/RRT/renal-death) event counts not recoverable from any source reached (NEJM full text paywalled to every attempt); retinopathy-complication outcome was prespecified, externally adjudicated, secondary and not multiplicity protected; serial retinal imaging/progression grading was not built into the trial",High (prespecified MACE noninferiority; abstract/secondary-verified); pre-FLOW hypothesis-generating for hard kidney endpoints,"05;06;09;10;12;14;15"
SUSTAIN6-RETINOPATHY-2018,"Semaglutide, reduction in glycated haemoglobin and the risk of diabetic retinopathy","Vilsboll T; Bain SC; Leiter LA; et al.","Diabetes Obes Metab",2018,10.1111/dom.13172,29178519,SUSTAIN-6,Secondary endpoint analysis,"Prespecified retinopathy-complication endpoint; post hoc explanatory analyses","SUSTAIN-6 T2D high-CV-risk population","Semaglutide 0.5/1.0 mg SC weekly",Placebo,"Time to first diabetic-retinopathy complication, externally adjudicated","50/1648 (3.0%) vs 29/1649 (1.8%), HR 1.76 (1.11-2.78), P=0.02","Secondary endpoint without multiplicity protection; trial lacked standardized retinal photographs/imaging and formal retinopathy grading; post hoc analyses suggest an early-worsening association with rapid HbA1c decline in participants with pre-existing retinopathy and insulin use, not proof of direct retinal toxicity",Supportive safety signal; mechanism explanatory only,"01;05;10;14"
PIONEER6-2019,"Oral Semaglutide and Cardiovascular Outcomes in Patients with Type 2 Diabetes","Husain M; Birkenfeld AL; Donsmark M; et al.","N Engl J Med",2019,10.1056/NEJMoa1901118,31185157,PIONEER-6,RCT primary publication (noninferiority),Primary (CV noninferiority),"T2D at high CV/renal risk, N=3183 (1591/1592)","Oral semaglutide 14 mg daily",Placebo,"3-point MACE (noninferiority)","MACE 61/1591 (3.8%) vs 76/1592 (4.8%), HR 0.79 (0.57-1.11); noninferiority met (P<0.001) but CI crosses 1, superiority not demonstrated; median follow-up 15.9 months","No dedicated renal composite; UACR never collected at all; short follow-up limits any renal signal; underpowered/too short for standalone renal conclusions",High (MACE; primary structured abstract verified); no kidney evidence,"05;14;15"
SUSTAIN6-PIONEER6-EGFR-NDT-2025,"Effect of semaglutide on kidney function across different levels of baseline HbA1c, blood pressure, body weight and albuminuria in SUSTAIN 6 and PIONEER 6","Apperloo EM; Cherney DZI; Kuhlman AB; et al.","Nephrol Dial Transplant",2025,10.1093/ndt/gfae150,38955363,"SUSTAIN-6 + PIONEER-6 pooled",Post hoc pooled analysis,Post hoc,"T2D at high CV risk (pooled 2 RCTs), N=6480 with eGFR data",Semaglutide SC/oral,Placebo,"eGFR slope by baseline subgroup","Pooled eGFR-slope difference 0.59 (0.29-0.89) mL/min/1.73m2/yr; SUSTAIN-6 alone 0.60 (0.24-0.96); consistent across HbA1c/BP/BMI strata (all P-interaction>0.5) and UACR strata (SUSTAIN-6-only subset, P-interaction 0.99)","Published online 2024, print issue 2025 - label as post hoc, pre-FLOW evidence; smaller magnitude than FLOW; not a dedicated-CKD population (PIONEER-6 excluded eGFR<30)",Suggestive (pre-FLOW eGFR-slope evidence),"04;05;06;09;15"
SUSTAIN6-MEDIATION-2021,"Potential kidney protection with liraglutide and semaglutide: exploratory mediation analysis","Mann JFE; Buse JB; Idorn T; et al.","Diabetes Obes Metab",2021,10.1111/dom.14443,34009708,"LEADER (liraglutide) and SUSTAIN-6 (semaglutide), analyzed separately",Post hoc exploratory mediation analysis,Post hoc,"LEADER N=9340 (605 kidney events); SUSTAIN-6 N=3297 (162 kidney events)","Liraglutide / Semaglutide",Placebo,"Mediated fraction of kidney-composite effect via HbA1c, systolic BP, body weight (CV-death-excluded composite, different from FLOW's own)","HbA1c mediated 25% (LEADER, 95% CI -7.1 to 67.3) / 26% (SUSTAIN-6, CI noncalculable); systolic BP mediated 9% (LEADER, 2.8-22.7) / 22% (SUSTAIN-6, CI noncalculable); body weight mediated 9% (LEADER, -7.9 to 35.5) / 0% (SUSTAIN-6, CI noncalculable and therefore uninformative rather than evidence of absent mediation)","Each candidate mediator and each trial were analyzed separately (only the SUSTAIN-6 dose arms were pooled); effects cannot be added and no joint mediation estimate exists. Different (CV-death-excluded, macroalbuminuria/creatinine-doubling-based) kidney composite than FLOW's own primary outcome; most CIs wide or noncalculable; not FLOW-specific, not re-tested within FLOW's own population",Suggestive (not strongly supported),"04;05;06;09;12;15"
SUSTAIN6-KDIGO-2024,"Change in KDIGO Risk Category With Semaglutide in SUSTAIN-6","Tuttle KR; et al.","Kidney Int Rep",2024,10.1016/j.ekir.2024.04.028,39081763,SUSTAIN-6,Post hoc analysis,Post hoc,"SUSTAIN-6 population",Semaglutide,Placebo,"KDIGO risk-category movement","Change in UACR was the main driver of favorable KDIGO risk-category movement; eGFR change drove progression mainly in already-high-risk stratum","Post hoc, low-power (most participants had preserved baseline kidney function); consistent with an albuminuria-dominant pre-FLOW signal",Suggestive,"05;09"
SELECT-KIDNEY-2024,"Long-term kidney outcomes of semaglutide in obesity and cardiovascular disease in the SELECT trial","Colhoun HM; Lingvay I; Brown PM; et al.","Nature Medicine",2024,10.1038/s41591-024-03015-5,38796653,SELECT (NCT03574597),RCT prespecified secondary analysis,Prespecified,"Overweight/obesity + established CVD, WITHOUT diagnosed diabetes (HbA1c<6.5% at entry; 66.4% prediabetic, 33.5% normoglycemic), N=17,604 (8803/8801)","Semaglutide 2.4 mg SC weekly",Placebo,"Composite: kidney-disease death, chronic KRT initiation, persistent eGFR<15, persistent >=50% eGFR decline, or onset of persistent macroalbuminuria; continuous eGFR and UACR outcomes","Composite HR 0.78 (0.63-0.96), P=.02; 1.8% vs 2.2%. Week-104 eGFR difference +0.75 (0.43-1.06), and +2.19 (1.00-3.38) in baseline eGFR<60; total slope +0.39 (0.30-0.48), chronic week-20-to-end slope +0.29 (0.18-0.40), and European-subset acute baseline-to-week-16 slope -1.33 (-2.68 to 0.02) mL/min/1.73m2/yr; week-104 UACR relative difference -10.7% (-13.2 to -8.2), with baseline-UACR strata <30: -8.1% (-10.6 to -5.6), 30-<300: -27.2% (-35.3 to -18.1), >=300: -31.4% (-54.9 to 4.3). Event effect driven by macroalbuminuria onset and >=50% eGFR-decline components; weight mediation of week-104 eGFR change estimated at 81% (41-120%)","No diabetes-specific dedicated CKD population; different dose (2.4mg) from FLOW; composite includes softer macroalbuminuria-onset component and hard components were sparse; continuous outcomes were secondary and P values unadjusted; eGFR<60 rise in both arms may partly reflect regression to mean; acute slope evaluable only in a European subset; only ~1/5 had eGFR<60 or UACR>=30; mediation was on eGFR change, not the hard composite, and was suggestive rather than definitive",High for prespecified SELECT secondary outcomes; extrapolation to dedicated albuminuric CKD requires caution,"04;06;09;12;13;14;15"
SELECT-PRIMARY-2023,"Semaglutide and Cardiovascular Outcomes in Obesity without Diabetes","Lincoff AM; Brown-Frandsen K; Colhoun HM; et al.","N Engl J Med",2023,10.1056/NEJMoa2307563,37952131,SELECT (NCT03574597),RCT primary publication,Primary (CV),"Overweight/obesity + established CVD, no diabetes, N=17,604","Semaglutide 2.4 mg SC weekly",Placebo,"3-point MACE",Cited only for population/dose/design context supporting SELECT-KIDNEY-2024 and for parent-trial sample-size reconciliation in the dialysis safety discussion,Abstract-level context only,High (context only),"04;06;10;12;15"
SELECT-GLYCEMIA-2024,"Effect of Semaglutide on Regression and Progression of Glycemia in People With Overweight or Obesity but Without Diabetes in the SELECT Trial","Kahn SE; Deanfield JE; Jeppesen OK; et al.","Diabetes Care",2024,10.2337/dc24-0491,38907683,SELECT (NCT03574597),RCT prespecified secondary analysis,Prespecified,"SELECT participants without diabetes, analyzed by baseline HbA1c/glycemic status",Semaglutide 2.4 mg SC weekly,Placebo,"HbA1c trajectory; regression to normoglycemia and progression to biochemical diabetes","Baseline mean HbA1c 5.78%; 66.4% prediabetic (HbA1c 5.7-6.4%); only 33.5% normoglycemic (<5.7%)","Primary PMC article (PMCID PMC11282386) identifies a prespecified secondary analysis; baseline glycemic characterization is used only to show that 'without diabetes' is not equivalent to 'without dysglycemia' and does not establish kidney-effect mediation",High (prespecified secondary analysis; baseline characterization),"04;06"
SOUL-PRIMARY-2025,"Oral Semaglutide and Cardiovascular Outcomes in High-Risk Type 2 Diabetes","McGuire DK; Marx N; Mulvagh SL; et al.","N Engl J Med",2025,10.1056/NEJMoa2501006,40162642,SOUL (NCT03914326),RCT primary publication,Primary (CV),"T2D + ASCVD and/or CKD, N=9650 (4825/4825)","Oral semaglutide 14 mg daily",Placebo,"3-point MACE","579/4825 (12.0%) vs 668/4825 (13.8%), HR 0.86 (0.77-0.96) P=0.006; confirmatory secondary outcomes (incl. kidney composite) did not differ significantly per abstract; mean follow-up 47.5+/-10.9 months","Population had more preserved kidney function than FLOW (mean eGFR ~74); UACR not collected; also cited for parent-trial sample-size reconciliation in the dialysis safety discussion",High (abstract-verified),"06;10;12;13;14;15"
